cluster_id,cluster_size,avg_confidence,min_confidence,max_confidence,confidence_range,user_decision,decision_label,centralizedCompanyId,companyName,city,state,latitude,longitude,company_confidence,clean_name
1323,2,0.5976666666666666,0.5976666666666666,0.5976666666666666,0.0,1,APPROVED,01b77372-8d0b-4956-8874-7583e4e35679,Conma Industries Pty Ltd,Edwardstown,SA,-34.98988,138.57329,0.5976666666666666,conma industries pty ltd
1323,2,0.5976666666666666,0.5976666666666666,0.5976666666666666,0.0,1,APPROVED,c35b59ff-9fb9-4409-98ef-9a2d546db076,Conmar Industries Pty Ltd,Edwardstown,SA,-34.98988,138.57329,0.5976666666666666,conmar industries pty ltd
3810,2,0.5954166666666666,0.5954166666666666,0.5954166666666666,0.0,1,APPROVED,0501a270-bb13-11ee-b7c3-e3fe29dbf4a2,99 Camry-$290 WDSM,West Des Moines,Iowa,41.564226,-93.72950639999999,0.5954166666666666,99 camry 290 wdsm
3810,2,0.5954166666666666,0.5954166666666666,0.5954166666666666,0.0,1,APPROVED,bb20e9e0-c9a4-11ee-8dbe-e9f1a3aad9c2,99 Camry-$290,West Des Moines,Iowa,41.564226,-93.72950639999999,0.5954166666666666,99 camry 290
4766,2,0.5979166666666667,0.5979166666666667,0.5979166666666667,0.0,1,APPROVED,063b3155-f3be-4e5c-b098-713f52b62151,Venture Metals Intl,Houston,TX,29.89127,-95.36836,0.5979166666666667,venture metals intl
4766,2,0.5979166666666667,0.5979166666666667,0.5979166666666667,0.0,1,APPROVED,5b2a9ed1-ee84-4b83-bbc7-c1afb7a12d32,Venture Metals,Houston,TX,29.89127,-95.36836,0.5979166666666667,venture metals
5502,2,0.5979166666666667,0.5979166666666667,0.5979166666666667,0.0,1,APPROVED,07318380-9227-11ef-ac7f-29b3aea1efa7,Age Rigging,Bell,California,33.9887417,-118.1647456,0.5979166666666667,age rigging
5502,2,0.5979166666666667,0.5979166666666667,0.5979166666666667,0.0,1,APPROVED,56e637b0-9621-11ef-8841-9fe6abc137b2,New Age Rigging,Bell,California,33.9887417,-118.1647456,0.5979166666666667,new age rigging
10392,2,0.5991666666666666,0.5991666666666666,0.5991666666666666,0.0,1,APPROVED,0db59290-d875-11ed-bb18-8f86ef0e8269,03 Suburban-$675,Omaha,Nebraska,41.2179444,-95.9856555,0.5991666666666666,03 suburban 675
10392,2,0.5991666666666666,0.5991666666666666,0.5991666666666666,0.0,1,APPROVED,e2b7bd50-cf02-11ed-9ace-e797d67983af,03 Suburban-$675 Gray,Omaha,Nebraska,41.2179444,-95.9856555,0.5991666666666666,03 suburban 675 gray
11445,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.0,1,APPROVED,0f0d5391-cf3b-4c12-b8e7-3be38b388987,EMCON SERVICES - BROOKS,Oyen,AB,51.354427,-110.483583,0.5916666666666667,emcon services brooks
11445,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.0,1,APPROVED,5c183f8f-bdb9-470b-83cd-f31e97da763d,EMCON SERVICES,OYEN,AB,51.354427,-110.483583,0.5916666666666667,emcon services
18529,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.0,1,APPROVED,183e1a1f-4adf-4845-bad2-b65184d0c59b,Kirby Risk,Indianapolis,IN,39.739306,-86.231776,0.5916666666666667,kirby risk
18529,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.0,1,APPROVED,f3882d6b-7644-4875-8894-011f26690dde,Kirby Risk -Indy,Indianapolis,IN,39.739306,-86.231776,0.5916666666666667,kirby risk indy
19037,2,0.5934166666666667,0.5934166666666667,0.5934166666666667,0.0,1,APPROVED,18eaaf5f-bec1-4daf-9c47-e27cffbb3c21,Corbin Hufcor Inc,Rockland,MA,42.15721,-70.90697,0.5934166666666667,corbin hufcor inc
19037,2,0.5934166666666667,0.5934166666666667,0.5934166666666667,0.0,1,APPROVED,b4f28bd8-65d5-439e-bac0-cb3f4448c236,Corbin-Hufcor ,Rockland,MA,42.15721,-70.90697,0.5934166666666667,corbin hufcor
