cluster_id,location_key,location_lat,location_lon,cluster_size,avg_confidence,max_confidence,min_confidence,confidence_level,num_edges,company_names_count,company_domains_count,timezones_count,methods_agreeing_count,methods_agreeing,manual_decision,decision_reason,timestamp
LOC_1640_NAME_9,-3.3558_37.3321,-3.3558,37.3321,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T14:54:31.203961
LOC_2350_NAME_0,-31.9165_115.9211,-31.9165,115.9211,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:08.765227
LOC_2605_NAME_0,-31.9966_115.9638,-31.9966,115.9638,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:09.451812
LOC_11578_NAME_0,29.4058_-95.2366,29.4058,-95.2366,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:10.095585
LOC_12062_NAME_0,29.4773_-98.402,29.4773,-98.402,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:10.754315
LOC_12738_NAME_0,29.5896_-98.3725,29.5896,-98.3725,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:11.749249
LOC_19318_NAME_0,30.7994_-83.2887,30.7994,-83.2887,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:12.476550
LOC_22913_NAME_0,32.5776_-116.9948,32.5776,-116.9948,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:13.202709
LOC_28773_NAME_0,33.6436_-84.3104,33.6436,-84.3104,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:13.874046
LOC_32496_NAME_0,34.0028_-117.9216,34.0028,-117.9216,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:15.909727
